DisciplineName,count,Direction
Основы технологии машиностроения,1,Машиностроение
Основы технологии машиностроения и методы размерного анализа,58,Машиностроение
Основы технологии обслуживания транспортной техники,10,Транспорт
Основы технологии производства и ремонта транспортной техники,124,Транспорт
Основы управления качеством,1,Другое
Основы управления качеством в машиностроении,36,Машиностроение
"Основы экономики, предпринимательства и финансовой грамотности",192,Экономика / Менеджмент
Основы электроники,45,Электроника и телеком
Основы электронной и измерительной техники,98,Электроника и телеком
Особенности размерного анализа технологических процессов сварки,1,Другое
Оформление и защита магистерского проекта,41,Другое
Оформление и защита магистерской диссертации,68,Другое
Охрана труда,290,Другое
Охрана труда и безопасность жизнедеятельности,1,Другое
Охрана труда и промышленная безопасность,45,Другое
Охрана труда и техника безопасности в строительстве,55,Другое
Параллельные вычисления,7,Другое
Патентные исследования на различных этапах создания и освоения объектов техники,1,Другое
Патентоведение,1,Другое
Педагогика высшей школы,71,Другое
Педагогическая практика,114,Другое
Передача и распределение электроэнергии,112,Электроника и телеком
Переходные процессы в электроэнергетических системах,130,Электроника и телеком
"Планирование и постановка экспериментов, обработка результатов исследования",17,Другое
Планирование на электроэнергетических предприятиях,1,Электроника и телеком
"Поверка, безопасность и надежность информационно-измерительных систем",34,IT / Программирование
Подготовка и сдача комплексного экзамена,10,Другое
Подъемно-транспортное оборудование,1,Транспорт
Политология,1,Гуманитарные науки
Получисленные алгоритмы,224,IT / Программирование
Правила дорожного движения,81,Транспорт
Практикум по иностранному языку 1,234,Языки
Практикум по иностранному языку 2,3,Языки
Практикум по иностранному языку 2 (A2),74,Языки
Практикум по иностранному языку 2 (B1),17,Языки
Преддипломная практика,1009,Другое
Приборы и методы исследований,45,Другое
Прикладная визуализация данных,98,Другое
Принципы инженерного творчества,1,Другое
"Проблемы информатики, вычислительной техники и управления",2,Другое
Программирование для инженерных приложений,12,IT / Программирование
Программирование для инженерных приложений (Python),28,IT / Программирование
Программирование для инженерных приложений (Основы С),42,IT / Программирование
Программирование маркетинговых инструментов для digital-продвижения,15,IT / Программирование
Программная инженерия,90,Другое
Программное сопровождение систем дистанционного управления объектами,11,Другое
Программные средства информационных систем,31,IT / Программирование
Проектирование WEB-приложений,62,IT / Программирование
Проектирование и дизайн пользовательских интерфейсов,7,IT / Программирование
Проектирование и оптимизация конструкций машин и оборудования,22,Строительство / Архитектура
Проектирование и производство заготовок,26,Другое
Проектирование и производство металлорежущего инструмента,67,Другое
Проектирование и производство режущего инструмента,5,Другое
Проектирование инженерных систем зданий и сооружений с использованием BIM-технологий,14,Строительство / Архитектура
Проектирование интернет-приложений,4,IT / Программирование
Проектирование информационных систем,87,IT / Программирование
Проектирование информационных систем и сервисов,94,IT / Программирование
Проектирование компьютерных систем,7,IT / Программирование
Проектирование надежных компьютерных систем,153,IT / Программирование
Проектирование объектов архитектурного дизайна 1,52,Строительство / Архитектура
Проектирование объектов архитектурного дизайна 2,42,Строительство / Архитектура
Проектирование объектов архитектурного дизайна 3,42,Строительство / Архитектура
Проектирование объектов архитектурного дизайна 4,28,Строительство / Архитектура
Проектирование объектов архитектурного дизайна 5,28,Строительство / Архитектура
Проектирование объектов графического дизайна 1,50,Дизайн / Искусство
Проектирование объектов графического дизайна 2,45,Дизайн / Искусство
Проектирование объектов графического дизайна 3,46,Дизайн / Искусство
Проектирование объектов графического дизайна 4,30,Дизайн / Искусство
Проектирование объектов графического дизайна 5,34,Дизайн / Искусство
Проектирование программного обеспечения,10,Другое
Проектирование промышленных зданий,14,Строительство / Архитектура
Проектирование сварочной оснастки,2,Машиностроение
Проектирование сварочных цехов,1,Машиностроение
Проектирование систем дистанционного управления объектами,2,Другое
Проектирование строительных конструкций с использованием расчетных комплексов,35,Строительство / Архитектура
Проектирование технологической оснастки,56,Машиностроение
Проектирование транспортных предприятий,96,Транспорт
Производственная практика,44,Другое
Производственная практика 1,1413,Другое
Производственная практика 2,1227,Другое
Производственная практика 3,1096,Другое
Производственная практика 4,125,Другое
Производственная практика 5,3,Другое
Производство электроэнергии,158,Электроника и телеком
Промышленная безопасность,60,Другое
Промышленная графика,30,Дизайн / Искусство
Промышленная электроника,130,Электроника и телеком
Пропорции в машиностроении,1,Машиностроение
Протоколы и интерфейсы информационных систем,38,IT / Программирование
Протоколы и интерфейсы компьютерных систем,263,IT / Программирование
Протоколы и интерфейсы мобильных приложений,25,IT / Программирование
Профессиональный английский язык 1,20,Языки
Профессиональный английский язык 2,5,Языки
Профессиональный английский язык 3,1,Языки
Прочностные расчеты конструкторских элементов деталей машин,25,Другое
Психология общения и управление конфликтами,116,Другое
Психология управления,135,Другое
Радиоавтоматика,66,Электроника и телеком
Радиотехнические системы,132,Электроника и телеком
Радиотехнические цепи и сигналы,103,Электроника и телеком
Разработка и сопровождение информационных систем и сервисов,159,IT / Программирование
Разработка информационных систем,20,IT / Программирование
Разработка сметно-финансовой документации,35,Другое
Разработка технологических процессов и подготовка управляющих программ при изготовлении деталей на станках с числовым программным управлением,93,Другое
Расчет и проектирование приборов,43,Другое
Реинжиниринг бизнес-процессов и основы коммерциализации,7,Другое
Реконструкция и ремонт зданий,199,Строительство / Архитектура
Релейная защита и автоматизация электроэнергетических систем,129,Электроника и телеком
Решение финансово-хозяйственных проблем транспорта,6,Другое
Рисунок 1,88,Дизайн / Искусство
Рисунок 2,60,Дизайн / Искусство
Рисунок 3,51,Дизайн / Искусство
Риторика и культура речи,31,Гуманитарные науки
Робототехнические системы,5,Другое
"Роботы, манипуляторы, робототехнические системы",22,Другое
Роль эксперимента в управлении качеством продукции в промышленности,23,Другое
Русский язык,342,Языки
Русский язык (A0),2,Языки
Русский язык (A1),11,Языки
Русский язык (A2),34,Языки
Русский язык (B1),130,Языки
Русский язык (B2),55,Языки
Сварочное производство в машиностроении,36,Машиностроение
Сетевое и системное администрирование,41,IT / Программирование
Сети связи и системы коммуникации,16,Электроника и телеком
Сети связи и системы коммуникаций,25,Электроника и телеком
Система контроля технической документации,4,Другое
Система профессиональной безопасности в промышленности,78,Другое
Системное программное обеспечение,78,IT / Программирование
Системный анализ,93,Другое
Системы автоматизированного проектирования,125,Другое
Системы автоматизированного проектирования в строительстве,149,Другое
Системы автоматики и релейной защиты,11,Другое
"Системы архитектурного проектирования, формообразования и расчета",37,Строительство / Архитектура
Системы беспроводной передачи данных,41,Другое
Системы искусственного интеллекта,90,Другое
Системы качества,22,Другое
Системы компьютерной математики,47,IT / Программирование
Системы поддержки принятия решений,96,Другое
Системы управления базами данных,107,Другое
Системы управления базами данных и базами знаний,10,Другое
Служение обществу,598,Софт-скиллы / Общие компетенции
Сметное дело,149,Другое
Современная история Казахстана,264,Гуманитарные науки
Современное оборудование и средства автоматизации процессов производства технологических машин,1,Другое
"Современное состояние радиотехники, электроники и телекоммуникаций",2,Электроника и телеком
Современные аспекты развития аккредитации органов по сертификации и испытательных лабораторий,5,Измерения / Метрология / Качество
Современные аспекты развития метрологии,5,Измерения / Метрология / Качество
Современные аспекты развития стандартизации и сертификации (по отраслям),7,Измерения / Метрология / Качество
Современные конструкционные материалы и нанотехнологии,28,Машиностроение
Современные криптографические методы защиты информации,6,Другое
Современные материалы в дизайне,11,Дизайн / Искусство
Современные материалы в дизайне (по профилю),11,Дизайн / Искусство
Современные методы повышения надежности машин,3,Другое
Современные методы повышения надежности транспортной техники,3,Транспорт
Современные микроконтроллеры и коммуникационные микропроцессоры,7,Электроника и телеком
Современные планировочные решения при строительстве объектов транспорта,6,Другое
Современные проблемы электроэнергетики,6,Электроника и телеком
Современные ресурсосберегающие технологии восстановления деталей транспортной техники,6,Транспорт
Современные системы автоматизированного проектирования,3,Другое
Современные системы и средства измерений,4,Измерения / Метрология / Качество
Современные тенденции развития систем качества,4,Другое
"Современные технологии восстановления, упрочнения и обработки деталей машин",32,Другое
Современные технологии компьютерной графики,10,IT / Программирование
Современные технологии машиностроительного производства,17,Машиностроение
Современные технологии производства и ремонта транспортной техники и оборудования,3,Транспорт
Современный дизайн,22,Дизайн / Искусство
Современный дизайн (по профилю),22,Дизайн / Искусство
Создание и управление информационными ресурсами,22,IT / Программирование
Создание цифровых двойников машиностроения современными программными средствами,19,Машиностроение
Сопротивление материалов,1,Математика / Физика
Сопротивление материалов и строительная механика,149,Строительство / Архитектура
Специальные разделы искусственного интеллекта,26,Другое
Специальный рисунок,60,Дизайн / Искусство
Средства измерений геометрических величин,22,Измерения / Метрология / Качество
Средства измерения теплофизических и температурных величин,19,Измерения / Метрология / Качество
Средства измерения электрических величин,22,Измерения / Метрология / Качество
Стандартизация и сертификация,20,Измерения / Метрология / Качество
Станки и технологическая оснастка в машиностроительном производстве,65,Машиностроение
Статистические методы в измерениях,1,Измерения / Метрология / Качество
Статистические методы управления качеством,21,Измерения / Метрология / Качество
Статистические методы управления качеством продукции и процессов,22,Измерения / Метрология / Качество
Статистический анализ,13,Другое
Стили и направления в изобразительном искусстве,18,Дизайн / Искусство
Строительное черчение,42,Строительство / Архитектура
Строительное черчение и компьютерная графика,190,IT / Программирование
Строительные материалы,213,Строительство / Архитектура
Строительные машины и оборудование,206,Строительство / Архитектура
Структуры данных и разработка программного обеспечения,7,IT / Программирование
Схемотехника аналоговых электронных устройств,111,Электроника и телеком
Схемы управления электроприводом,152,Электроника и телеком
Теоретическая механика,108,Математика / Физика
Теоретические основы информационных процессов и систем,18,IT / Программирование
Теоретические основы электротехники,29,Электроника и телеком
Теоретические основы электротехники 1,139,Электроника и телеком
Теоретические основы электротехники 2,133,Электроника и телеком
Теория алгоритмов,66,IT / Программирование
Теория вычислительных процессов и структур,7,Другое
Теория и практика создания интерактивных приложений,8,Другое
Теория и практика шрифта,4,Дизайн / Искусство
Теория машин и механизмов,15,Другое
Теория механизмов и машин,50,Другое
Теория моделирования и научного эксперимента,22,Математика / Физика
Теория назначения допусков и посадок типовых соединений,4,Другое
Теория передачи информации,104,Другое
Теория производственных процессов,7,Другое
Теория процессов сварки и государственные стандарты сварочного производства,1,Машиностроение
Теория резания,65,Машиностроение
Теория резания и тепловые процессы в технологических системах,1,Машиностроение
Теория сварочных процессов,21,Машиностроение
Теория электрических цепей,121,Другое
Теория электрических цепей 2,101,Другое
Теория электрической связи,127,Другое
Теплотехника,67,Другое
Теплотехника двигателей внутреннего сгорания,19,Транспорт
Тестирование и обеспечение качества программного обеспечения,44,Другое
Тестирование программного обеспечения и обеспечение качества,18,Другое
Техника высоких напряжений,16,Другое
Техническая подготовка производства и основы проектирования механосборочных цехов,28,Другое
Технические измерения,457,Измерения / Метрология / Качество
Технические средства автоматики,124,Другое
Технические средства автоматики энергосистем,1,Другое
Техническое обслуживание и диагностика транспортной техники,112,Транспорт
Технологии NI в системах сбора данных,30,Другое
Технологии графического программирования,5,IT / Программирование
Технологии приборостроения,36,Другое
Технологии формирования профессионального имиджа,186,Софт-скиллы / Общие компетенции
Технологические процессы машиностроительного производства,1,Машиностроение
Технологический аудит и система профессиональной безопасности в промышленности,1,Другое
Технология возведения зданий и сооружений,304,Строительство / Архитектура
Технология возведения специальных сооружений,149,Строительство / Архитектура
Технология восстановления и ремонт изношенных деталей,58,Другое
Технология производства машин,115,Машиностроение
Технология создания графических изображений,5,Другое
Технология строительного производства 1,36,Строительство / Архитектура
Технология строительных процессов,198,Строительство / Архитектура
"Технология, оборудование и специальные виды сварки",2,Другое
Типология средового дизайна,36,Дизайн / Искусство
Транспортная логистика,140,Транспорт
Транспортные предприятия и результативность их работы,74,Транспорт
Управление IT проектами,231,IT / Программирование
Управление IT-проектами,66,IT / Программирование
Управление в электроэнергетических системах,140,Электроника и телеком
Управление данными и знаниями в информационных системах,27,IT / Программирование
Управление качеством машин и технологических процессов,21,Экономика / Менеджмент
Управление компьютерными сетями,1,IT / Программирование
Управление компьютерными системами,35,IT / Программирование
Управление разработкой программного обеспечения,2,Другое
Управленческие решения на автомобильном транспорте,7,Транспорт
Управленческие решения на транспорте,36,Экономика / Менеджмент
Устройства генерирования и передачи сигналов,91,Другое
Устройства приема и обработки сигналов,91,Другое
Устройство автомобилей,88,Транспорт
Учебная практика,1476,Другое
Физика,574,Математика / Физика
Физика 1,259,Математика / Физика
Физика 2,41,Математика / Физика
Физика 3,28,Математика / Физика
Физическая культура,3388,Физкультура
Физические методы технического контроля,11,Другое
Физические основы измерений в промышленности,20,Измерения / Метрология / Качество
Философия,1219,Гуманитарные науки
Философские проблемы техники,1,Гуманитарные науки
Формы и методы оценки соответствия,1,Другое
Функциональное и логическое программирование,293,IT / Программирование
Химия,1,Другое
Цветоведение,88,Дизайн / Искусство
Цифровая обработка сигналов,13,Другое
Цифровые системы автоматизации и управления,13,Другое
Цифровые устройства,41,Электроника и телеком
Цифровые устройства и микропроцессоры,88,Электроника и телеком
Цифровые устройства формирования и обработки сигналов,18,Электроника и телеком
Шрифт,53,Дизайн / Искусство
Шрифт и реклама,69,Дизайн / Искусство
Экология и устойчивое развитие,191,Другое
Экономика и основы предпринимательства,129,Экономика / Менеджмент
Экономика предприятия,1,Экономика / Менеджмент
Экономические информационные системы,2,IT / Программирование
Экспериментально-исследовательская работа,87,Другое
Экспертные знания и системы поддержки принятия решений,18,Другое
Эксплуатационные материалы транспортной техники,65,Транспорт
Эксплуатация и обслуживание транспортной техники,7,Транспорт
Электрические аппараты,162,Другое
Электрические машины,21,Электроника и телеком
Электрические машины и микромашины,38,Электроника и телеком
Электрические машины и электропривод,118,Электроника и телеком
Электрические системы и сети,118,Другое
Электрические станции и подстанции,158,Электроника и телеком
Электробезопасность,215,Электроника и телеком
Электромеханика,7,Электроника и телеком
Электроника,326,Электроника и телеком
"Электронное, электрическое оборудование транспортной техники",107,Электроника и телеком
Электронные наносенсоры,4,Электроника и телеком
Электрооборудование вагонов,16,Электроника и телеком
Электропитание радиоэлектронных устройств и систем,16,Электроника и телеком
Электропреобразовательные устройства,36,Электроника и телеком
Электропривод,23,Электроника и телеком
Электроснабжение объектов,160,Электроника и телеком
Электротехника,232,Электроника и телеком
Электротехника и основы электроники,13,Электроника и телеком
Электротехническое материаловедение,106,Электроника и телеком
Электротехническое оборудование,166,Электроника и телеком
Элементы и процессы архитектурного дизайна 1,54,Строительство / Архитектура
Элементы и процессы архитектурного дизайна 2,56,Строительство / Архитектура
Элементы и процессы архитектурного дизайна 3,54,Строительство / Архитектура
Элементы и процессы архитектурного дизайна 4,64,Строительство / Архитектура
Элементы и процессы графического дизайна 1,110,Дизайн / Искусство
